"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Queens","14","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.43333333333333,3,2,1,12.8666666666667,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",5.15,1,1,1,6.96666666666667,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","PHONE","Initial Alarm","First Alarm","NonM_E",5.65,0,1,0,45.0333333333333,"Weekend","TRUE","Morning","TRUE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",7.63333333333333,1,1,1,25.35,"Weekend","TRUE","Morning","FALSE"
"Queens","5","CLASS-3","Initial Alarm","First Alarm","S_F",6.46666666666667,1,1,0,10.45,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","9","PHONE","Initial Alarm","First Alarm","NonM_E",5.01666666666667,2,2,1,10.8833333333333,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",7.33333333333333,1,1,0,24.25,"Weekend","TRUE","Morning","FALSE"
"Bronx","14","PHONE","Initial Alarm","First Alarm","NonM_E",7.13333333333333,1,0,0,10.2,"Weekend","TRUE","Morning","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",7.36666666666667,0,1,0,11.7833333333333,"Weekend","TRUE","Morning","TRUE"
"Staten Island","11","EMS","Initial Alarm","First Alarm","M_E",4.1,1,0,0,10.8666666666667,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","8","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.05,3,2,1,17.5666666666667,"Weekend","TRUE","Morning","FALSE"
"Queens","6","PHONE","Initial Alarm","First Alarm","NonM_E",4.28333333333333,0,1,0,7.98333333333333,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","8","EMS-911","DEFAULT RECORD","First Alarm","M_E",5.1,1,0,0,8,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",4.41666666666667,1,1,0,11.25,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","EMS-911","DEFAULT RECORD","First Alarm","M_E",6.45,1,0,0,1.36666666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","7","EMS","Initial Alarm","First Alarm","M_E",5.2,1,0,0,7.36666666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","5","EMS-911","DEFAULT RECORD","First Alarm","M_E",6.28333333333333,1,0,0,7.91666666666667,"Weekend","TRUE","Morning","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",7.83333333333333,0,0,2,7.8,"Weekend","TRUE","Morning","FALSE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.58333333333333,3,2,1,12.6666666666667,"Weekend","TRUE","Morning","FALSE"
"Staten Island","11","PHONE","Initial Alarm","First Alarm","NonM_E",4.03333333333333,2,2,1,19.3333333333333,"Weekend","TRUE","Morning","FALSE"
"Bronx","13","EMS-911","Initial Alarm","First Alarm","M_E",6.65,1,0,0,57.0666666666667,"Weekend","TRUE","Morning","TRUE"
"Bronx","14","PHONE","Initial Alarm","First Alarm","NonM_E",5.7,0,1,0,10.3833333333333,"Weekend","TRUE","Morning","TRUE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",6.93333333333333,1,1,0,19.5,"Weekend","TRUE","Morning","FALSE"
"Queens","14","CLASS-3","Initial Alarm","First Alarm","NonM_E",5.96666666666667,2,3,0,19.9333333333333,"Weekend","TRUE","Morning","FALSE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",2.83333333333333,1,0,0,3.9,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","10","PHONE","Initial Alarm","First Alarm","NonM_E",4.98333333333333,1,1,0,5.85,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","7","EMS","Initial Alarm","First Alarm","M_E",2.93333333333333,1,0,0,15.9,"Weekend","TRUE","Morning","TRUE"
"Manhattan","10","EMS","Initial Alarm","First Alarm","M_E",8.75,1,0,0,35.7666666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","14","EMS","Initial Alarm","First Alarm","M_E",4.71666666666667,1,1,0,15.2833333333333,"Weekend","TRUE","Morning","FALSE"
"Queens","6","EMS-911","Initial Alarm","First Alarm","M_E",5.41666666666667,1,0,0,8.28333333333333,"Weekend","TRUE","Morning","TRUE"
"Queens","5","EMS-911","Initial Alarm","First Alarm","NonM_E",4.06666666666667,1,0,0,23.5166666666667,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","8","PHONE","DEFAULT RECORD","First Alarm","NonM_MFAs",2.46666666666667,3,2,1,5.56666666666667,"Weekend","TRUE","Morning","FALSE"
"Staten Island","11","PHONE","DEFAULT RECORD","First Alarm","NonM_MFAs",5.93333333333333,1,0,0,2.68333333333333,"Weekend","TRUE","Morning","TRUE"
"Queens","5","EMS","Initial Alarm","First Alarm","NonM_E",4.71666666666667,1,1,0,16.3,"Weekend","TRUE","Afternoon","FALSE"
"Brooklyn","7","PHONE","Initial Alarm","First Alarm","NonM_E",4.61666666666667,0,1,0,3.5,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","10","EMS","Initial Alarm","First Alarm","M_E",3.8,1,0,0,38.3666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","15","EMS","DEFAULT RECORD","First Alarm","M_E",1.63333333333333,1,0,0,6.66666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","10","PHONE","Initial Alarm","First Alarm","NonM_E",6.63333333333333,2,1,1,25.9333333333333,"Weekend","TRUE","Afternoon","FALSE"
"Bronx","15","PHONE","Others","NonFirst Alarm","S_F",4.3,3,2,2,118.933333333333,"Weekend","TRUE","Afternoon","FALSE"
"Queens","7","PHONE","Initial Alarm","First Alarm","NonM_E",11.1666666666667,0,1,0,32.05,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","7","EMS-911","DEFAULT RECORD","First Alarm","M_E",2.61666666666667,1,0,0,1.26666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Queens","3","EMS","Initial Alarm","First Alarm","M_E",4.95,1,0,0,8.6,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.6,1,0,0,1.36666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","13","Others","Initial Alarm","First Alarm","M_E",3,1,0,0,43.6166666666667,"Weekend","TRUE","Afternoon","TRUE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",4.66666666666667,1,0,0,10.3166666666667,"Weekend","TRUE","Afternoon","TRUE"
"Queens","5","Others","Initial Alarm","First Alarm","NonM_E",7.28333333333333,0,1,0,12.1333333333333,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","14","EMS","Initial Alarm","First Alarm","M_E",5.3,0,0,1,11.5166666666667,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",6.9,0,1,0,10.7166666666667,"Weekend","TRUE","Afternoon","TRUE"
"Queens","5","PHONE","Initial Alarm","First Alarm","NonM_E",7.45,1,0,0,3.1,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","10","PHONE","Initial Alarm","First Alarm","NonM_E",4.73333333333333,1,0,0,6.11666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","15","EMS","Initial Alarm","First Alarm","M_E",7.53333333333333,1,0,0,18.5,"Weekend","TRUE","Afternoon","TRUE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",5.13333333333333,0,0,1,19.4333333333333,"Weekend","TRUE","Afternoon","TRUE"
"Queens","6","EMS","DEFAULT RECORD","First Alarm","M_E",5.98333333333333,1,0,0,1.4,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","7","EMS","Initial Alarm","First Alarm","M_E",6.58333333333333,1,0,0,7.05,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",5.98333333333333,2,2,1,20.0833333333333,"Weekend","TRUE","Afternoon","FALSE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.61666666666667,1,1,1,12.5833333333333,"Weekend","TRUE","Afternoon","FALSE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",6.65,0,1,0,36.4833333333333,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","15","EMS-911","Initial Alarm","First Alarm","M_E",9.7,1,0,0,28.2,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","8","EMS-911","DEFAULT RECORD","First Alarm","M_E",4.11666666666667,1,0,0,0.2,"Weekend","TRUE","Afternoon","TRUE"
"Brooklyn","9","PHONE","Initial Alarm","First Alarm","NonM_E",5.91666666666667,0,1,0,20,"Weekend","TRUE","Afternoon","TRUE"
